Country,Code,Pillar,Results Indicators,Total
Afghanistan,AF,Education,Number of children completing primary education supported by DFID (per annum),17
Afghanistan,AF,Education,Number of children supported by DFID in lower secondary education (per annum),39
Afghanistan,AF,Education,Number of children supported by DFID in primary education (per annum),141
Afghanistan,AF,Humanitarian and Emergency Response,Number of people reached with emergency food assistance through DFID support,1400
Africa regional ,298,Climate Change,Number of people supported by DFID funding to cope with the effects of climate change,7
Africa regional ,298,Governance and Security,Number of people supported to have choice and control over their development and to hold decision makers to account,5
Africa regional ,298,Humanitarian and Emergency Response,Number of people reached with emergency food assistance through DFID support,1062
Bangladesh,BD,Climate Change,Number of people supported by DFID funding to cope with the effects of climate change,475
Bangladesh,BD,Education,"Number of births delivered with the help of nurses, midwives or doctors through DFID support",104
Bangladesh,BD,Education,Number of children supported by DFID in primary education (per annum),357
Bangladesh,BD,Governance and Security,Number of people supported to have choice and control over their development and to hold decision makers to account,356
Bangladesh,BD,Humanitarian and Emergency Response,Number of people reached with emergency food assistance through DFID support,150
Bangladesh,BD,"Poverty, Vulnerability, Nutrition and Hunger",Number of people benefitting from DFID-supported cash transfer programmes,234
Bangladesh,BD,"Reproductive, maternal and neo-natal health",Number of additional women using modern methods of family planning through DFID support,57
Bangladesh,BD,"Reproductive, maternal and neo-natal health",Number of people with sustainable access to clean drinking water sources through DFID support,293
Bangladesh,BD,Water and Sanitation,Number of people with access to improved hygiene through DFID support to hygiene promotion,4800
Bangladesh,BD,Water and Sanitation,Number of people with sustainable access to an improved sanitation facility through DFID support,1131
Bangladesh,BD,Wealth Creation,Number of people with access to financial services as a result of DFID support,355
Burma,MM,Malaria,Number of insecticide treated bed-nets distributed with DFID support,172
Burma,MM,"Poverty, Vulnerability, Nutrition and Hunger",Number of people achieving food security through DFID support,
Burma,MM,Wealth Creation,Number of people benefitting from DFID-supported cash transfer programmes,12
Burundi,BI,Education,Number of children completing primary education supported by DFID (per annum),58
Burundi,BI,Education,Number of children supported by DFID in lower secondary education (per annum),
Burundi,BI,Governance and Security,Number of people supported to have choice and control over their development and to hold decision makers to account,168
Burundi,BI,Governance and Security,Number of women and girls with improved access to security and justice services through DFID support,1
Caribbean,,Climate Change,Number of people supported by DFID funding to cope with the effects of climate change,25
Central Asia,619,Wealth Creation,Number of children supported by DFID in primary education (per annum),4
DRC,CD,Governance and Security,Number of people supported to have choice and control over their development and to hold decision makers to account,924
DRC,CD,Governance and Security,Number of people who vote in elections supported by DFID,18900
DRC,CD,Malaria,Number of insecticide treated bed-nets distributed with DFID support,929
DRC,CD,"Poverty, Vulnerability, Nutrition and Hunger",Number of children under five and pregnant women reached through DFID's nutrition-relevant programmes,153
DRC,CD,"Reproductive, maternal and neo-natal health","Number of births delivered with the help of nurses, midwives or doctors through DFID support",94
DRC,CD,Water and Sanitation,Number of people with access to improved hygiene through DFID support to hygiene promotion,185
DRC,CD,Water and Sanitation,Number of people with sustainable access to an improved sanitation facility through DFID support,199
DRC,CD,Water and Sanitation,Number of people with sustainable access to clean drinking water sources through DFID support,274
Ethiopia,ET,Education,"Number of births delivered with the help of nurses, midwives or doctors through DFID support",
Ethiopia,ET,Education,Number of children completing primary education supported by DFID (per annum),
Ethiopia,ET,Education,Number of children supported by DFID in lower secondary education (per annum),
Ethiopia,ET,Governance and Security,Number of people supported to have choice and control over their development and to hold decision makers to account,3441
Ethiopia,ET,Humanitarian and Emergency Response,Number of people reached with emergency food assistance through DFID support,1895
Ethiopia,ET,Malaria,Number of insecticide treated bed-nets distributed with DFID support,754
Ethiopia,ET,"Poverty, Vulnerability, Nutrition and Hunger",Number of people achieving food security through DFID support,283
Ethiopia,ET,"Poverty, Vulnerability, Nutrition and Hunger",Number of people benefitting from DFID-supported cash transfer programmes,1240
Ethiopia,ET,"Reproductive, maternal and neo-natal health",Number of additional women using modern methods of family planning through DFID support,
Ethiopia,ET,"Reproductive, maternal and neo-natal health","Number of births delivered with the help of nurses, midwives or doctors through DFID support",
Ethiopia,ET,Water and Sanitation,Number of people with access to improved hygiene through DFID support to hygiene promotion,
Ethiopia,ET,Water and Sanitation,Number of people with sustainable access to clean drinking water sources through DFID support,86
Ghana,GH,Education,Number of additional women using modern methods of family planning through DFID support,
Ghana,GH,Education,Number of children completing primary education supported by DFID (per annum),
Ghana,GH,Education,Number of children supported by DFID in lower secondary education (per annum),
Ghana,GH,Governance and Security,Number of people supported to have choice and control over their development and to hold decision makers to account,7
Ghana,GH,Malaria,Number of insecticide treated bed-nets distributed with DFID support,2350
India,IN,Climate Change,Number of people supported by DFID funding to cope with the effects of climate change,2009
India,IN,Climate Change,Number of people with improved access to clean energy as a result of DFID funding,644
India,IN,Education,Number of people with sustainable access to clean drinking water sources through DFID support,835
